County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Hunt,44230,39410,49670,28494,23600,82800,77878,15810,4112,947,31096,2723,,,,,,,,,,,,,
Hutchinson,1,4900,9959,5601,4607,17397,16258,3581,504,246,6098,741,,,,,,,,,,,,,
Irion,44449,0,883,490,411,1292,1234,328,15,0,429,0,,,,,,,,,,,,,
Jack,44230,3900,4295,2589,1961,7655,7230,1515,198,149,2732,284,,,,,,,,,,,,,
Jackson,8,11060,8851,4910,4273,12264,11425,2720,380,237,4205,674,,,,,,,,,,,,,
Jasper,4/5N,15270,16501,9208,8035,29963,28056,7187,1597,374,11687,1173,,,,,,,,,,,,,
Jeff Davis,44449,1400,2017,1123,958,2246,2180,812,28,0,685,0,,,,,,,,,,,,,
Jefferson,6/5S,241300,148552,84180,66402,209484,197382,37595,13127,2431,90120,6898,,,,,,,,,,,,,
Jim Hogg,11,1400,4530,2566,1998,4107,3791,890,14,60,1572,0,,,,,,,,,,,,,
Jim Wells,11,35525,30049,16894,13970,32896,30579,6358,3897,985,12474,1370,,,,,,,,,,,,,
Johnson,44230,105100,100608,56266,47281,145438,135345,25151,3559,1471,53224,5814,,,,,,,,,,,,,
Jones,44230,3300,10078,5884,5164,17778,17011,3188,337,254,6981,525,,,,,,,,,,,,,
Karnes,8,14520,10216,6091,4959,13389,12669,2211,370,244,5177,505,,,,,,,,,,,,,
Kaufman,44230,65950,84807,49240,38962,110544,102341,16113,2857,1189,40613,4498,,,,,,,,,,,,,
Kendall,8,19400,39115,22380,18625,40495,37890,9152,1091,801,12702,160,,,,,,,,,,,,,
Kenedy,11,0,334,181,157,333,321,68,1,0,139,0,,,,,,,,,,,,,
Kent,44230,0,411,233,206,646,615,201,13,60,198,0,,,,,,,,,,,,,
Kerr,8,20100,33117,18899,15702,46093,43793,14769,2805,1022,13990,1087,,,,,,,,,,,,,
Kimble,44449,2900,2699,1557,1270,3832,3651,1288,90,0,1243,0,,,,,,,,,,,,,
King,1,0,63,37,32,215,205,51,7,0,69,0,,,,,,,,,,,,,
Kinney,8,2400,2140,1253,931,3211,3050,910,11,0,1171,0,,,,,,,,,,,,,
Kleberg,11,59725,27132,14984,12597,25919,24188,4046,1401,341,9265,870,,,,,,,,,,,,,
Knox,44230,2300,2057,1134,1040,3024,2808,736,95,127,976,182,,,,,,,,,,,,,
La Salle,8,24535,5876,3397,2752,6477,6212,1018,22,60,2410,0,,,,,,,,,,,,,
Lamar,4/5N,28200,25573,14233,12435,41942,39402,9726,3115,745,14986,1612,,,,,,,,,,,,,
Lamb,1,2400,7005,4108,3326,10452,9740,2240,454,226,3968,536,,,,,,,,,,,,,
Lampasas,7,5000,11508,6785,5566,18448,17366,4322,348,284,6457,0,,,,,,,,,,,,,
Lavaca,8,8700,11868,6933,6044,17169,16004,4775,820,612,5435,476,,,,,,,,,,,,,
Lee,7,5900,10363,5912,4947,14935,13993,3219,334,226,5333,494,,,,,,,,,,,,,
Leon,7,3800,8711,5243,4355,14753,13946,4334,155,74,4662,603,,,,,,,,,,,,,
Liberty,6/5S,42565,40535,24319,18151,71663,66868,11399,1398,614,28567,2987,,,,,,,,,,,,,
Limestone,7,8100,10736,6326,5115,20032,18871,4670,2332,1060,7512,702,,,,,,,,,,,,,
Lipscomb,1,1300,1469,802,736,2698,2520,617,24,61,919,190,,,,,,,,,,,,,
Live Oak,11,3400,5571,3111,2604,10565,10055,2533,35,100,3769,300,,,,,,,,,,,,,
Llano,7,6800,16498,9405,8100,19603,18908,8119,277,358,5362,15,,,,,,,,,,,,,
Loving,44449,0,57,32,25,130,129,23,0,0,50,0,,,,,,,,,,,,,
Lubbock,1,239890,204877,114371,97509,261427,244992,39476,20974,4093,83028,9242,,,,,,,,,,,,,
Lynn,1,1800,3298,1840,1567,4851,4496,974,191,40,1838,328,,,,,,,,,,,,,
Madison,7,4100,7542,4461,3609,12264,11595,2264,299,258,4451,17,,,,,,,,,,,,,
Marion,4/5N,1300,5071,2921,2517,8663,8277,2697,351,158,3058,0,,,,,,,,,,,,,
Martin,44449,2400,2465,1454,1121,4473,4136,659,165,0,1624,0,,,,,,,,,,,,,
Mason,44449,2000,3050,1657,1488,3712,3521,1250,104,0,1147,0,,,,,,,,,,,,,
Matagorda,6/5S,16950,22594,13098,10361,30169,28247,6391,1113,369,11409,1164,,,,,,,,,,,,,
Maverick,8,46700,50551,32411,20848,46417,42606,7003,2970,1198,18727,152,,,,,,,,,,,,,
McCulloch,44449,4400,3877,2233,1825,6865,6435,1792,212,122,2275,260,,,,,,,,,,,,,
McLennan,7,153530,157645,91569,75385,215130,200781,37728,11153,3621,71906,8718,,,,,,,,,,,,,
McMullen,11,1200,443,257,221,640,616,189,10,0,202,0,,,,,,,,,,,,,
Medina,8,18100,34446,20168,16631,44092,41263,8757,899,536,16090,1720,,,,,,,,,,,,,
Menard,44449,1400,1506,850,788,1888,1790,699,9,40,550,0,,,,,,,,,,,,,
Midland,44449,135835,99437,55029,46503,141259,131025,18438,5950,1288,49538,4151,,,,,,,,,,,,,
Milam,7,11200,14418,8020,6875,21093,19689,5245,532,297,7641,827,,,,,,,,,,,,,
Mills,7,2600,2916,1641,1389,4242,4006,1416,149,152,1305,265,,,,,,,,,,,,,
Mitchell,44230,4000,3777,2225,1625,7286,6958,1259,265,96,2753,254,,,,,,,,,,,,,
Montague,44230,4950,9623,5507,4676,16816,15872,4444,560,383,5668,702,,,,,,,,,,,,,
Montgomery,6/5S,404890,415912,245151,185915,503062,467232,81457,20255,3836,157396,17330,,,,,,,,,,,,,
