County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",People Vaccinated with an Additional Dose,,,,,,,,,,,
Hunt,2021-02-03 00:00:00,39410,75220,41206,35463,82800,77878,15810,4112,947,31096,2723,,,,,,,,,,,,
Hutchinson,1,4900,13261,7271,6257,17397,16258,3581,504,246,6098,741,,,,,,,,,,,,
Irion,2021-09-10 00:00:00,0,1226,644,574,1292,1234,328,15,0,429,0,,,,,,,,,,,,
Jack,2021-02-03 00:00:00,3900,6164,3444,2983,7655,7230,1515,198,149,2732,284,,,,,,,,,,,,
Jackson,8,11060,12152,6514,5718,12264,11425,2720,380,237,4205,674,,,,,,,,,,,,
Jasper,4/5N,15270,23732,13224,11490,29963,28056,7187,1597,374,11687,1173,,,,,,,,,,,,
Jeff Davis,2021-09-10 00:00:00,1400,2295,1220,1078,2246,2180,812,28,0,685,0,,,,,,,,,,,,
Jefferson,6/5S,241300,232148,124504,106105,209484,197382,37595,13127,2431,90120,6898,,,,,,,,,,,,
Jim Hogg,11,1400,5999,3291,2609,4107,3791,890,14,60,1572,0,,,,,,,,,,,,
Jim Wells,11,35525,44955,23813,20122,32896,30579,6358,3897,985,12474,1370,,,,,,,,,,,,
Johnson,2021-02-03 00:00:00,105100,146100,79427,69165,145438,135345,25151,3559,1471,53224,5814,,,,,,,,,,,,
Jones,2021-02-03 00:00:00,3300,14886,9024,7623,17778,17011,3188,337,254,6981,525,,,,,,,,,,,,
Karnes,8,14520,14540,8145,7353,13389,12669,2211,370,244,5177,505,,,,,,,,,,,,
Kaufman,2021-02-03 00:00:00,65950,127313,69884,59890,110544,102341,16113,2857,1189,40613,4498,,,,,,,,,,,,
Kendall,8,19400,54675,29466,26105,40495,37890,9152,1091,801,12702,160,,,,,,,,,,,,
Kenedy,11,0,465,236,207,333,321,68,1,0,139,0,,,,,,,,,,,,
Kent,2021-02-03 00:00:00,0,532,299,260,646,615,201,13,60,198,0,,,,,,,,,,,,
Kerr,8,20100,47216,25943,22741,46093,43793,14769,2805,1022,13990,1087,,,,,,,,,,,,
Kimble,2021-09-10 00:00:00,2900,3537,1963,1688,3832,3651,1288,90,0,1243,0,,,,,,,,,,,,
King,1,0,86,53,40,215,205,51,7,0,69,0,,,,,,,,,,,,
Kinney,8,2400,3135,1772,1410,3211,3050,910,11,0,1171,0,,,,,,,,,,,,
Kleberg,11,59725,38207,19676,17009,25919,24188,4046,1401,341,9265,870,,,,,,,,,,,,
Knox,2021-02-03 00:00:00,2300,2526,1401,1250,3024,2808,736,95,127,976,182,,,,,,,,,,,,
La Salle,8,24535,8531,4868,4225,6477,6212,1018,22,60,2410,0,,,,,,,,,,,,
Lamar,4/5N,28200,36252,19340,16803,41942,39402,9726,3115,745,14986,1612,,,,,,,,,,,,
Lamb,1,2400,9614,5383,4655,10452,9740,2240,454,226,3968,536,,,,,,,,,,,,
Lampasas,7,5000,17106,9684,8286,18448,17366,4322,348,284,6457,0,,,,,,,,,,,,
Lavaca,8,8700,15808,8907,8024,17169,16004,4775,820,612,5435,476,,,,,,,,,,,,
Lee,7,5900,14631,8187,7071,14935,13993,3219,334,226,5333,494,,,,,,,,,,,,
